"","sample_year","BinLocation","ADUID","sample_date","trip_no","effort_no","management_area_code","location_code","submitter_specimen_id","res"
"70",2020,"K06 (145,147]","20010071",2020-05-04,"071","2001",NA,"K06",6,0.100730641855108
"71",2020,"K06 (87,89]","20010070",2020-05-04,"070","2001",NA,"K06",19,0.0267071399024307
"72",2020,"K06 (79,81]","20010071",2020-05-04,"071","2001",NA,"K06",18,-0.0879425179066919
"74",2020,"K06 (117,119]","20010075",2020-05-04,"075","2001",NA,"K06",2,0.022235266938131
"75",2020,"K06 (103,105]","20010074",2020-05-04,"074","2001",NA,"K06",7,0.0632745273664272
"76",2020,"K06 (89,91]","20010072",2020-05-04,"072","2001",NA,"K06",15,-0.111825646909452
"77",2020,"K06 (91,93]","20010070",2020-05-04,"070","2001",NA,"K06",11,-0.0962610683487851
"78",2020,"K06 (85,87]","20010068",2020-05-04,"068","2001",NA,"K06",14,-0.00254685010371187
"79",2020,"K06 (113,115]","20010072",2020-05-04,"072","2001",NA,"K06",5,0.0492233580509726
"80",2020,"K06 (111,113]","20010068",2020-05-04,"068","2001",NA,"K06",2,-0.0399529628018999
"83",2020,"K06 (50,75]","20010074",2020-05-04,"074","2001",NA,"K06",16,-0.0735430873760311
"86",2020,"K06 (159,161]","20010069",2020-05-04,"069","2001",NA,"K06",3,0.175048129237228
"87",2020,"K06 (139,141]","20010069",2020-05-04,"069","2001",NA,"K06",4,-0.0846146276960296
"89",2020,"K06 (95,97]","20010069",2020-05-04,"069","2001",NA,"K06",13,-0.0738389631573894
"90",2020,"K06 (25,50]","20010074",2020-05-04,"074","2001",NA,"K06",19,-0.125565234903875
"91",2020,"K05 (83,85]","20010078",2020-05-04,"078","2001",NA,"K05",12,-0.0607829033949916
"92",2020,"K05 (97,99]","20010081",2020-05-04,"081","2001",NA,"K05",12,-0.0133061644933396
"93",2020,"K05 (101,103]","20010079",2020-05-04,"079","2001",NA,"K05",2,-0.0632844865737839
"94",2020,"K05 (125,131]","20010078",2020-05-04,"078","2001",NA,"K05",6,0.0192637986073582
"95",2020,"K05 (143,145]","20010079",2020-05-04,"079","2001",NA,"K05",9,-0.201151046490665
"96",2020,"K05 (81,83]","20010079",2020-05-04,"079","2001",NA,"K05",14,-0.250100061117789
"97",2020,"K05 (135,137]","20010083",2020-05-04,"083","2001",NA,"K05",7,-0.0910364798647458
"98",2020,"K05 (50,75]","20010080",2020-05-04,"080","2001",NA,"K05",17,-0.0133455164003612
"100",2020,"K05 (25,50]","20010080",2020-05-04,"080","2001",NA,"K05",16,0.199639025014044
"102",2020,"K05 (115,117]","20010082",2020-05-04,"082","2001",NA,"K05",5,0.0659745297519499
"103",2020,"K05 (163,165]","20010082",2020-05-04,"082","2001",NA,"K05",6,0.00562529614704415
"104",2020,"K05 (87,89]","20010078",2020-05-04,"078","2001",NA,"K05",14,-0.050320983501503
"105",2020,"K05 (123,125]","20010079",2020-05-04,"079","2001",NA,"K05",8,0.0613460853156649
"106",2020,"K05 (87,89]","20010078",2020-05-04,"078","2001",NA,"K05",18,-0.100751837128395
"107",2020,"K05 (145,147]","20010082",2020-05-04,"082","2001",NA,"K05",2,0.0276546615370417
"108",2020,"K05 (131,133]","20010083",2020-05-04,"083","2001",NA,"K05",8,0.00300569612496193
"109",2020,"K05 (93,95]","20010079",2020-05-04,"079","2001",NA,"K05",11,-0.0149509723784269
"110",2020,"K05 (131,133]","20010081",2020-05-04,"081","2001",NA,"K05",7,0.102851031094678
"111",2020,"K05 (119,121]","20010079",2020-05-04,"079","2001",NA,"K05",10,-0.110291792044864
"112",2020,"K05 (105,107]","20010078",2020-05-04,"078","2001",NA,"K05",8,-0.0830281199031036
"113",2020,"K05 (95,97]","20010081",2020-05-04,"081","2001",NA,"K05",11,-0.0391086542378477
"115",2020,"K05 (87,89]","20010077",2020-05-04,"077","2001",NA,"K05",11,-0.0984560030515758
"116",2020,"K05 (125,131]","20010080",2020-05-04,"080","2001",NA,"K05",5,-0.108945834347068
"117",2020,"K05 (119,121]","20010083",2020-05-04,"083","2001",NA,"K05",5,-0.034654377839244
"119",2020,"K05 (50,75]","20010080",2020-05-04,"080","2001",NA,"K05",13,-0.103396050525712
"120",2020,"K05 (25,50]","20010080",2020-05-04,"080","2001",NA,"K05",19,0.703043712478474
"121",2020,"K02 (149,151]","20010094",2020-05-10,"094","2001",NA,"K02",5,-0.60301535015729
"122",2020,"K02 (83,85]","20010113",2020-05-11,"113","2001",NA,"K02",11,-0.235535300834832
"123",2020,"K02 (99,101]","20010117",2020-05-11,"117","2001",NA,"K02",1,-0.087937735815254
"124",2020,"K02 (0,25]","20010104",2020-05-11,"104","2001",NA,"K02",17,-0.283623819275234
"125",2020,"K02 (0,25]","20010102",2020-05-11,"102","2001",NA,"K02",12,-0.0170339792774322
"126",2020,"K02 (153,155]","20010163",2020-05-14,"163","2001",NA,"K02",10,0.0197203151621551
"127",2020,"K02 (50,75]","20010118",2020-05-11,"118","2001",NA,"K02",14,0.0253813853088712
"128",2020,"K02 (153,155]","20010163",2020-05-14,"163","2001",NA,"K02",2,0.261766167643759
"129",2020,"K02 (50,75]","20010118",2020-05-11,"118","2001",NA,"K02",11,-0.179413027337142
"130",2020,"K02 (77,79]","20010113",2020-05-11,"113","2001",NA,"K02",20,-0.221835035027615
"131",2020,"K02 (115,117]","20010089",2020-05-10,"089","2001",NA,"K02",1,0.115959401742021
"132",2020,"K02 (93,95]","20010168",2020-05-14,"168","2001",NA,"K02",11,-0.0712181861088395
"133",2020,"K02 (121,123]","20010085",2020-05-10,"085","2001",NA,"K02",2,0.0840997509272654
"134",2020,"K02 (75,77]","20010097",2020-05-10,"097","2001",NA,"K02",11,-0.124135715048561
"135",2020,"K02 (159,161]","20010094",2020-05-10,"094","2001",NA,"K02",1,0.0908652755377304
"136",2020,"K02 (25,50]","20010089",2020-05-10,"089","2001",NA,"K02",17,0.635407529721878
"137",2020,"K02 (103,105]","20010163",2020-05-14,"163","2001",NA,"K02",9,-0.0601044937940771
"139",2020,"K02 (83,85]","20010094",2020-05-10,"094","2001",NA,"K02",12,-0.139254518836487
"140",2020,"K02 (87,89]","20010113",2020-05-11,"113","2001",NA,"K02",15,-0.100751837128395
"142",2020,"K02 (141,143]","20010093",2020-05-10,"093","2001",NA,"K02",4,0.0057629949482905
"143",2020,"K02 (97,99]","20010163",2020-05-14,"163","2001",NA,"K02",11,0.0375636484282282
"144",2020,"K02 (137,139]","20010088",2020-05-10,"088","2001",NA,"K02",5,0.141034991382362
"145",2020,"K02 (103,105]","20010085",2020-05-10,"085","2001",NA,"K02",3,-0.101347452328126
"146",2020,"K02 (25,50]","20010110",2020-05-11,"110","2001",NA,"K02",11,0.0609064949090396
"147",2020,"K02 (131,133]","20010163",2020-05-14,"163","2001",NA,"K02",7,0.0891833923660145
"148",2020,"K02 (137,139]","20010086",2020-05-10,"086","2001",NA,"K02",1,-0.0738662087131171
"149",2020,"K02 (145,147]","20010094",2020-05-10,"094","2001",NA,"K02",9,0.119823386614213
"151",2020,"K04 (25,50]","20010121",2020-05-12,"121","2001",NA,"K04",17,-0.128317205243368
"152",2020,"K04 (99,101]","20010123",2020-05-12,"123","2001",NA,"K04",2,-0.0139868755813479
"153",2020,"K04 (95,97]","20010123",2020-05-12,"123","2001",NA,"K04",12,0.04377900556792
"154",2020,"K04 (25,50]","20010126",2020-05-12,"126","2001",NA,"K04",12,-0.149519725348893
"155",2020,"K04 (113,115]","20010123",2020-05-12,"123","2001",NA,"K04",3,-0.0974949884940395
"157",2020,"K04 (123,125]","20010123",2020-05-12,"123","2001",NA,"K04",1,0.155413304907915
"158",2020,"K04 (25,50]","20010121",2020-05-12,"121","2001",NA,"K04",16,0.104935274588895
"159",2020,"K04 (135,137]","20010123",2020-05-12,"123","2001",NA,"K04",4,0.118148719198757
"160",2020,"K04 (25,50]","20010126",2020-05-12,"126","2001",NA,"K04",14,0.0540043515505864
"164",2020,"K04 (95,97]","20010123",2020-05-12,"123","2001",NA,"K04",11,-0.0515311742364056
"167",2020,"K04 (50,75]","20010125",2020-05-12,"125","2001",NA,"K04",11,-0.000898425965015384
"179",2020,"K04 (25,50]","20010121",2020-05-12,"121","2001",NA,"K04",19,-0.146379153692011
"181",2020,"K03 (103,105]","20010145",2020-05-13,"145","2001",NA,"K03",1,-0.0537468812942091
"182",2020,"K03 (105,107]","20010149",2020-05-13,"149","2001",NA,"K03",9,-0.0567643002080447
"183",2020,"K03 (113,115]","20010144",2020-05-13,"144","2001",NA,"K03",9,-0.0024486524933483
"184",2020,"K03 (113,115]","20010133",2020-05-12,"133","2001",NA,"K03",2,-0.0569368377774174
"185",2020,"K03 (107,109]","20010142",2020-05-13,"142","2001",NA,"K03",2,-0.0869712873464042
"186",2020,"K03 (87,89]","20010139",2020-05-13,"139","2001",NA,"K03",15,0.0976588758747147
"187",2020,"K03 (115,117]","20010144",2020-05-13,"144","2001",NA,"K03",2,-0.0600661911434154
"188",2020,"K03 (89,91]","20010146",2020-05-13,"146","2001",NA,"K03",13,-0.0208538687037252
"190",2020,"K03 (151,153]","20010134",2020-05-12,"134","2001",NA,"K03",1,-0.0383798928583766
"191",2020,"K03 (97,99]","20010146",2020-05-13,"146","2001",NA,"K03",11,-0.0479917224812298
"192",2020,"K03 (99,101]","20010144",2020-05-13,"144","2001",NA,"K03",1,-0.103935112244288
"193",2020,"K03 (87,89]","20010152",2020-05-13,"152","2001",NA,"K03",20,-0.00314582324725108
"194",2020,"K03 (119,121]","20010148",2020-05-13,"148","2001",NA,"K03",2,-0.0247755244798149
"195",2020,"K03 (91,93]","20010144",2020-05-13,"144","2001",NA,"K03",12,-0.0816622689276324
"196",2020,"K03 (109,111]","20010145",2020-05-13,"145","2001",NA,"K03",2,0.00962411097951675
"197",2020,"K03 (165,167]","20010147",2020-05-13,"147","2001",NA,"K03",3,0.497309103263954
"198",2020,"K03 (97,99]","20010137",2020-05-12,"137","2001",NA,"K03",16,-0.0247348603169627
"199",2020,"K03 (95,97]","20010145",2020-05-13,"145","2001",NA,"K03",15,-0.10050721023955
"200",2020,"K03 (99,101]","20010139",2020-05-13,"139","2001",NA,"K03",3,-0.162045707968976
"201",2020,"K03 (109,111]","20010142",2020-05-13,"142","2001",NA,"K03",10,0.0429693626459336
"202",2020,"K03 (85,87]","20010149",2020-05-13,"149","2001",NA,"K03",12,-0.103876223320839
"203",2020,"K03 (109,111]","20010144",2020-05-13,"144","2001",NA,"K03",6,0.00962411097951675
"204",2020,"K03 (75,77]","20010152",2020-05-13,"152","2001",NA,"K03",16,-0.0988179070642711
"205",2020,"K03 (50,75]","20010132",2020-05-12,"132","2001",NA,"K03",11,-0.112124061075239
"206",2020,"K03 (83,85]","20010152",2020-05-13,"152","2001",NA,"K03",18,0.0632697452749869
"207",2020,"K03 (111,113]","20010146",2020-05-13,"146","2001",NA,"K03",6,-0.0995450600041456
"208",2020,"K03 (115,117]","20010137",2020-05-12,"137","2001",NA,"K03",3,0.052729303001929
"209",2020,"K03 (113,115]","20010146",2020-05-13,"146","2001",NA,"K03",4,0.0103015819616685
"210",2020,"K03 (81,83]","20010152",2020-05-13,"152","2001",NA,"K03",19,-0.0272845838924824
