"","sample_year","ADUID","ADU_SPECIMEN_ID","sample_date","trip_no","effort_no","management_area_code","location_code","submitter_specimen_id","Bin"
"59",2019,"19D6272~079",19,2019-08-11,"0079","DS19-6272","D","D03","DS190409242019081100790019","(139,141]"
"60",2019,"19D6272~134",53,2019-08-14,"0134","DS19-6272","D","D03","DS190409242019081401340053","(89,91]"
"61",2019,"19D6272~123",44,2019-08-13,"0123","DS19-6272","D","D03","DS190409242019081301230044","(103,105]"
"62",2019,"19D6273~509",15,2019-09-04,"0509","DS19-6273","D","D03","DS190582002019090405090015","(141,143]"
"64",2019,"19D6273~044",11,2019-08-12,"0044","DS19-6273","D","D03","DS190582002019081200440011","(123,125]"
"65",2019,"19D6273~046",7,2019-08-12,"0046","DS19-6273","D","D03","DS190582002019081200460007","(119,121]"
"67",2019,"19D6273~486",42,2019-09-03,"0486","DS19-6273","D","D03","DS190582002019090304860042","(101,103]"
"70",2019,"19D6272~083",13,2019-08-11,"0083","DS19-6272","D","D03","DS190409242019081100830013","(131,133]"
"72",2019,"19D6272~044",57,2019-08-09,"0044","DS19-6272","D","D03","DS190409242019080900440057","(115,117]"
"73",2019,"19D6273~501",50,2019-09-04,"0501","DS19-6273","D","D03","DS190582002019090405010050","(109,111]"
"74",2019,"19D6273~041",51,2019-08-12,"0041","DS19-6273","D","D03","DS190582002019081200410051","(75,77]"
"76",2019,"19D6273~057",46,2019-08-13,"0057","DS19-6273","D","D03","DS190582002019081300570046","(50,75]"
"77",2019,"19D6272~085",12,2019-08-11,"0085","DS19-6272","D","D03","DS190409242019081100850012","(133,135]"
"78",2019,"19D6273~524",6,2019-09-05,"0524","DS19-6273","D","D03","DS190582002019090505240006","(131,133]"
"79",2019,"19D6273~564",10,2019-09-08,"0564","DS19-6273","D","D04","DS190582002019090805640010","(119,121]"
"80",2019,"19D6273~694",52,2019-09-14,"0694","DS19-6273","D","D04","DS190582002019091406940052","(50,75]"
"81",2019,"19D6292~003",55,2019-09-26,"0003","DS19-6292","D","D04","DS190582002019092600030055","(93,95]"
"82",2019,"19D6272~678",59,2019-09-17,"0678","DS19-6272","D","D04","DS190409242019091706780059","(111,113]"
"83",2019,"19D6273~096",55,2019-08-15,"0096","DS19-6273","D","D04","DS190582002019081500960055","(95,97]"
"84",2019,"19D6272~419",52,2019-09-04,"0419","DS19-6272","D","D04","DS190409242019090404190052","(105,107]"
"85",2019,"19D6273~463",46,2019-09-02,"0463","DS19-6273","D","D04","DS190582002019090204630046","(93,95]"
"86",2019,"19D6272~180",47,2019-08-17,"0180","DS19-6272","D","D04","DS190409242019081701800047","(113,115]"
"87",2019,"19D6273~602",53,2019-09-10,"0602","DS19-6273","D","D04","DS190582002019091006020053","(99,101]"
"88",2019,"19D6292~199",49,2019-10-06,"0199","DS19-6292","D","D04","DS190582002019100601990049","(103,105]"
"89",2019,"19D6273~649",8,2019-09-12,"0649","DS19-6273","D","D04","DS190582002019091206490008","(117,119]"
"90",2019,"19D6292~324",54,2019-10-14,"0324","DS19-6292","D","D04","DS190582002019101403240054","(99,101]"
"91",2019,"19D6272~199",10,2019-08-18,"0199","DS19-6272","D","D04","DS190409242019081801990010","(137,139]"
"92",2019,"19D6273~347",44,2019-08-26,"0347","DS19-6273","D","D04","DS190582002019082603470044","(117,119]"
"94",2019,"19D6272~216",13,2019-08-19,"0216","DS19-6272","D","D04","DS190409242019081902160013","(143,145]"
"95",2019,"19D6273~440",1,2019-09-01,"0440","DS19-6273","D","D04","DS190582002019090104400001","(139,141]"
"96",2019,"19D6272~709",52,2019-09-19,"0709","DS19-6272","D","D04","DS190409242019091907090052","(103,105]"
"98",2019,"19D6273~342",9,2019-08-26,"0342","DS19-6273","D","D04","DS190582002019082603420009","(135,137]"
"100",2019,"19D6272~415",16,2019-09-04,"0415","DS19-6272","D","D04","DS190409242019090404150016","(131,133]"
"101",2019,"19D6272~291",8,2019-08-25,"0291","DS19-6272","D","D04","DS190409242019082502910008","(123,125]"
"102",2019,"19D6273~078",56,2019-08-14,"0078","DS19-6273","D","D04","DS190582002019081400780056","(85,87]"
"103",2019,"19D6273~869",43,2019-09-23,"0869","DS19-6273","D","D04","DS190582002019092308690043","(91,93]"
"104",2019,"19D6272~334",56,2019-08-31,"0334","DS19-6272","D","D04","DS190409242019083103340056","(117,119]"
"105",2019,"19D6273~118",52,2019-08-16,"0118","DS19-6273","D","D04","DS190582002019081601180052","(103,105]"
"106",2019,"19D6273~123",1,2019-08-16,"0123","DS19-6273","D","D04","DS190582002019081601230001","(145,147]"
"107",2019,"19D6272~395",48,2019-09-03,"0395","DS19-6272","D","D04","DS190409242019090303950048","(101,103]"
"108",2019,"19D6273~162",50,2019-08-18,"0162","DS19-6273","D","D04","DS190582002019081801620050","(85,87]"
"109",2019,"19D6292~075",50,2019-09-29,"0075","DS19-6292","D","D05","DS190582002019092900750050","(95,97]"
"110",2019,"19D6273~391",47,2019-08-30,"0391","DS19-6273","D","D05","DS190582002019083003910047","(101,103]"
"111",2019,"19D6292~261",41,2019-10-09,"0261","DS19-6292","D","D05","DS190582002019100902610041","(99,101]"
"112",2019,"19D6273~377",4,2019-08-29,"0377","DS19-6273","D","D05","DS190582002019082903770004","(135,137]"
"113",2019,"19D6292~154",17,2019-10-04,"0154","DS19-6292","D","D05","DS190582002019100401540017","(121,123]"
"115",2019,"19D6292~046",7,2019-09-28,"0046","DS19-6292","D","D05","DS190582002019092800460007","(133,135]"
"116",2019,"19D6292~054",47,2019-09-28,"0054","DS19-6292","D","D05","DS190582002019092800540047","(109,111]"
"117",2019,"19D6292~077",4,2019-09-29,"0077","DS19-6292","D","D05","DS190582002019092900770004","(125,131]"
"118",2019,"19D6273~229",54,2019-08-21,"0229","DS19-6273","D","D05","DS190582002019082102290054","(87,89]"
"119",2019,"19D6273~251",7,2019-08-22,"0251","DS19-6273","D","D05","DS190582002019082202510007","(125,131]"
"120",2019,"19D6292~152",17,2019-10-04,"0152","DS19-6292","D","D05","DS190582002019100401520017","(123,125]"
"122",2019,"19D6273~377",1,2019-08-29,"0377","DS19-6273","D","D05","DS190582002019082903770001","(119,121]"
"123",2019,"19D6292~240",59,2019-10-08,"0240","DS19-6292","D","D05","DS190582002019100802400059","(93,95]"
"124",2019,"19D6273~208",5,2019-08-20,"0208","DS19-6273","D","D05","DS190582002019082002080005","(151,153]"
"125",2019,"19D6273~377",9,2019-08-29,"0377","DS19-6273","D","D05","DS190582002019082903770009","(141,143]"
"126",2019,"19D6273~208",4,2019-08-20,"0208","DS19-6273","D","D05","DS190582002019082002080004","(105,107]"
"127",2019,"19D6292~130",49,2019-10-03,"0130","DS19-6292","D","D05","DS190582002019100301300049","(97,99]"
"129",2019,"19D6273~208",10,2019-08-20,"0208","DS19-6273","D","D05","DS190582002019082002080010","(117,119]"
"130",2019,"19D6273~211",49,2019-08-20,"0211","DS19-6273","D","D05","DS190582002019082002110049","(87,89]"
"131",2019,"19D6292~125",5,2019-10-03,"0125","DS19-6292","D","D05","DS190582002019100301250005","(123,125]"
"132",2019,"19D6292~238",59,2019-10-08,"0238","DS19-6292","D","D05","DS190582002019100802380059","(97,99]"
"133",2019,"19D6273~393",46,2019-08-30,"0393","DS19-6273","D","D05","DS190582002019083003930046","(77,79]"
"134",2019,"19D6292~056",47,2019-09-28,"0056","DS19-6292","D","D05","DS190582002019092800560047","(97,99]"
"136",2019,"19D6292~236",59,2019-10-08,"0236","DS19-6292","D","D05","DS190582002019100802360059","(95,97]"
"137",2019,"19D6273~377",8,2019-08-29,"0377","DS19-6273","D","D05","DS190582002019082903770008","(125,131]"
"138",2019,"19D6273~251",5,2019-08-22,"0251","DS19-6273","D","D05","DS190582002019082202510005","(133,135]"
"139",2019,"19K6270~103",42,2019-07-16,"0103","KS19-6270","K","K13","KS190409242019071601030042","(109,111]"
"140",2019,"19K6270~017",47,2019-07-09,"0017","KS19-6270","K","K13","KS190409242019070900170047","(95,97]"
"141",2019,"19K6270~021",15,2019-07-09,"0021","KS19-6270","K","K13","KS190409242019070900210015","(121,123]"
"142",2019,"19K6270~009",44,2019-07-08,"0009","KS19-6270","K","K13","KS190409242019070800090044","(107,109]"
"143",2019,"19K6270~028",13,2019-07-10,"0028","KS19-6270","K","K13","KS190409242019071000280013","(143,145]"
"144",2019,"19K6270~037",46,2019-07-11,"0037","KS19-6270","K","K13","KS190409242019071100370046","(101,103]"
"145",2019,"19K6270~160",12,2019-07-20,"0160","KS19-6270","K","K13","KS190409242019072001600012","(137,139]"
"146",2019,"19K6270~056",53,2019-07-12,"0056","KS19-6270","K","K13","KS190409242019071200560053","(113,115]"
"147",2019,"19K6270~106",43,2019-07-16,"0106","KS19-6270","K","K13","KS190409242019071601060043","(107,109]"
"148",2019,"19K6270~037",6,2019-07-11,"0037","KS19-6270","K","K13","KS190409242019071100370006","(149,151]"
"149",2019,"19K6271~028",43,2019-07-20,"0028","KS19-6271","K","K13","KS190582002019072000280043","(117,119]"
"150",2019,"19K6270~039",43,2019-07-11,"0039","KS19-6270","K","K13","KS190409242019071100390043","(105,107]"
"151",2019,"19K6270~149",49,2019-07-19,"0149","KS19-6270","K","K13","KS190409242019071901490049","(115,117]"
"152",2019,"19K6271~010",48,2019-07-19,"0010","KS19-6271","K","K13","KS190582002019071900100048","(103,105]"
"153",2019,"19K6270~090",44,2019-07-15,"0090","KS19-6270","K","K13","KS190409242019071500900044","(111,113]"
"154",2019,"19K6270~101",1,2019-07-16,"0101","KS19-6270","K","K13","KS190409242019071601010001","(125,131]"
"155",2019,"19K6271~003",50,2019-07-18,"0003","KS19-6271","K","K13","KS190582002019071800030050","(95,97]"
"156",2019,"19K6270~132",44,2019-07-18,"0132","KS19-6270","K","K13","KS190409242019071801320044","(109,111]"
"157",2019,"19K6270~132",18,2019-07-18,"0132","KS19-6270","K","K13","KS190409242019071801320018","(121,123]"
"160",2019,"19K6271~014",3,2019-07-19,"0014","KS19-6271","K","K13","KS190582002019071900140003","(161,163]"
"161",2019,"19K6270~117",4,2019-07-17,"0117","KS19-6270","K","K13","KS190409242019071701170004","(163,165]"
"165",2019,"19K6271~026",56,2019-07-20,"0026","KS19-6271","K","K13","KS190582002019072000260056","(87,89]"
"166",2019,"19K6270~039",17,2019-07-11,"0039","KS19-6270","K","K13","KS190409242019071100390017","(131,133]"
"167",2019,"19K6270~146",6,2019-07-19,"0146","KS19-6270","K","K13","KS190409242019071901460006","(137,139]"
"168",2019,"19K6270~117",8,2019-07-17,"0117","KS19-6270","K","K13","KS190409242019071701170008","(119,121]"
"169",2019,"19K6271~265",45,2019-08-02,"0265","KS19-6271","K","KSW","KS190582002019080202650045","(107,109]"
"170",2019,"19K6270~206",43,2019-07-23,"0206","KS19-6270","K","KSW","KS190409242019072302060043","(113,115]"
"171",2019,"19K6271~059",45,2019-07-22,"0059","KS19-6271","K","KSW","KS190582002019072200590045","(117,119]"
"172",2019,"19K6271~169",9,2019-07-29,"0169","KS19-6271","K","KSW","KS190582002019072901690009","(117,119]"
"173",2019,"19K6268~080",2,2019-07-04,"0080","KS19-6268","K","KSW","KS190582002019070400800002","(139,141]"
"174",2019,"19K6271~174",48,2019-07-29,"0174","KS19-6271","K","KSW","KS190582002019072901740048","(119,121]"
"175",2019,"19K6270~218",6,2019-07-24,"0218","KS19-6270","K","KSW","KS190409242019072402180006","(135,137]"
"176",2019,"19K6271~039",1,2019-07-21,"0039","KS19-6271","K","KSW","KS190582002019072100390001","(141,143]"
"177",2019,"19K6271~221",50,2019-07-31,"0221","KS19-6271","K","KSW","KS190582002019073102210050","(97,99]"
"178",2019,"19K6270~186",17,2019-07-22,"0186","KS19-6270","K","KSW","KS190409242019072201860017","(145,147]"
"179",2019,"19K6271~189",16,2019-07-30,"0189","KS19-6271","K","KSW","KS190582002019073001890016","(133,135]"
"180",2019,"19K6271~111",13,2019-07-26,"0111","KS19-6271","K","KSW","KS190582002019072601110013","(125,131]"
"181",2019,"19K6268~086",52,2019-07-04,"0086","KS19-6268","K","KSW","KS190582002019070400860052","(103,105]"
"182",2019,"19K6271~108",43,2019-07-26,"0108","KS19-6271","K","KSW","KS190582002019072601080043","(121,123]"
"184",2019,"19K6271~071",47,2019-07-23,"0071","KS19-6271","K","KSW","KS190582002019072300710047","(117,119]"
"185",2019,"19K6271~240",51,2019-08-01,"0240","KS19-6271","K","KSW","KS190582002019080102400051","(95,97]"
"186",2019,"19K6271~176",19,2019-07-29,"0176","KS19-6271","K","KSW","KS190582002019072901760019","(149,151]"
"187",2019,"19K6271~074",1,2019-07-24,"0074","KS19-6271","K","KSW","KS190582002019072300740001","(125,131]"
"189",2019,"19K6271~130",20,2019-07-27,"0130","KS19-6271","K","KSW","KS190582002019072701300020","(149,151]"
"190",2019,"19K6270~213",51,2019-07-24,"0213","KS19-6270","K","KSW","KS190409242019072402130051","(123,125]"
"191",2019,"19K6271~051",11,2019-07-22,"0051","KS19-6271","K","KSW","KS190582002019072200510011","(115,117]"
"192",2019,"19K6271~166",8,2019-07-29,"0166","KS19-6271","K","KSW","KS190582002019072901660008","(153,155]"
"193",2019,"19K6271~084",10,2019-07-24,"0084","KS19-6271","K","KSW","KS190582002019072400840010","(145,147]"
"194",2019,"19K6271~059",20,2019-07-22,"0059","KS19-6271","K","KSW","KS190582002019072200590020","(111,113]"
"195",2019,"19K6271~154",51,2019-07-28,"0154","KS19-6271","K","KSW","KS190582002019072801540051","(101,103]"
"197",2019,"19K6271~219",51,2019-07-31,"0219","KS19-6271","K","KSW","KS190582002019073102190051","(95,97]"
"198",2019,"19K6271~056",41,2019-07-22,"0056","KS19-6271","K","KSW","KS190582002019072200560041","(97,99]"
"199",2019,"19K6268~051",16,2019-07-03,"0051","KS19-6268","K","K19","KS190582002019070300510016","(147,149]"
"200",2019,"19K6268~059",19,2019-07-03,"0059","KS19-6268","K","K19","KS190582002019070300590019","(133,135]"
"201",2019,"19K6270~252",19,2019-07-26,"0252","KS19-6270","K","K19","KS190409242019072602520019","(145,147]"
"202",2019,"19K6268~061",20,2019-07-03,"0061","KS19-6268","K","K19","KS190582002019070300610020","(133,135]"
"203",2019,"19K6268~061",10,2019-07-03,"0061","KS19-6268","K","K19","KS190582002019070300610010","(137,139]"
"204",2019,"19K6270~235",12,2019-07-25,"0235","KS19-6270","K","K19","KS190409242019072502350012","(143,145]"
"205",2019,"19K6270~235",42,2019-07-25,"0235","KS19-6270","K","K19","KS190409242019072502350042","(101,103]"
"206",2019,"19K6268~059",47,2019-07-03,"0059","KS19-6268","K","K19","KS190582002019070300590047","(113,115]"
"207",2019,"19K6268~049",48,2019-07-03,"0049","KS19-6268","K","K19","KS190582002019070300490048","(105,107]"
"208",2019,"19K6268~055",52,2019-07-03,"0055","KS19-6268","K","K19","KS190582002019070300550052","(97,99]"
"210",2019,"19K6270~232",1,2019-07-25,"0232","KS19-6270","K","K19","KS190409242019072502320001","(141,143]"
"211",2019,"19K6270~257",56,2019-07-26,"0257","KS19-6270","K","K19","KS190409242019072602570056","(109,111]"
"212",2019,"19K6268~055",44,2019-07-03,"0055","KS19-6268","K","K19","KS190582002019070300550044","(123,125]"
"213",2019,"19K6270~255",12,2019-07-26,"0255","KS19-6270","K","K19","KS190409242019072602550012","(153,155]"
"214",2019,"19K6268~059",9,2019-07-03,"0059","KS19-6268","K","K19","KS190582002019070300590009","(157,159]"
"215",2019,"19K6270~252",9,2019-07-26,"0252","KS19-6270","K","K19","KS190409242019072602520009","(137,139]"
"216",2019,"19K6270~232",2,2019-07-25,"0232","KS19-6270","K","K19","KS190409242019072502320002","(141,143]"
"217",2019,"19K6268~055",5,2019-07-03,"0055","KS19-6268","K","K19","KS190582002019070300550005","(151,153]"
"218",2019,"19K6270~250",48,2019-07-26,"0250","KS19-6270","K","K19","KS190409242019072602500048","(113,115]"
"219",2019,"19K6270~232",4,2019-07-25,"0232","KS19-6270","K","K19","KS190409242019072502320004","(157,159]"
"221",2019,"19K6270~250",8,2019-07-26,"0250","KS19-6270","K","K19","KS190409242019072602500008","(151,153]"
"224",2019,"19K6268~051",6,2019-07-03,"0051","KS19-6268","K","K19","KS190582002019070300510006","(145,147]"
"225",2019,"19K6270~232",8,2019-07-25,"0232","KS19-6270","K","K19","KS190409242019072502320008","(147,149]"
"227",2019,"19K6268~059",49,2019-07-03,"0059","KS19-6268","K","K19","KS190582002019070300590049","(113,115]"
"229",2019,"19K6268~001",44,2019-07-01,"0001","KS19-6268","K","K17","KS190582002019070100010044","(75,77]"
"230",2019,"19K6268~033",8,2019-07-02,"0033","KS19-6268","K","K17","KS190582002019070200330008","(123,125]"
"231",2019,"19K6268~001",16,2019-07-01,"0001","KS19-6268","K","K17","KS190582002019070100010016","(121,123]"
"232",2019,"19K6270~240",12,2019-07-25,"0240","KS19-6270","K","K17","KS190409242019072502400012","(131,133]"
"233",2019,"19K6268~036",5,2019-07-02,"0036","KS19-6268","K","K17","KS190582002019070200360005","(113,115]"
"234",2019,"19K6268~036",9,2019-07-02,"0036","KS19-6268","K","K17","KS190582002019070200360009","(133,135]"
"235",2019,"19K6270~240",52,2019-07-25,"0240","KS19-6270","K","K17","KS190409242019072502400052","(113,115]"
"237",2019,"19K6270~238",52,2019-07-25,"0238","KS19-6270","K","K17","KS190409242019072502380052","(117,119]"
"238",2019,"19K6268~033",43,2019-07-02,"0033","KS19-6268","K","K17","KS190582002019070200330043","(93,95]"
"239",2019,"19K6268~036",6,2019-07-02,"0036","KS19-6268","K","K17","KS190582002019070200360006","(121,123]"
"240",2019,"19K6270~240",42,2019-07-25,"0240","KS19-6270","K","K17","KS190409242019072502400042","(113,115]"
"242",2019,"19K6268~036",3,2019-07-02,"0036","KS19-6268","K","K17","KS190582002019070200360003","(125,131]"
"243",2019,"19K6268~036",1,2019-07-02,"0036","KS19-6268","K","K17","KS190582002019070200360001","(131,133]"
"244",2019,"19K6270~238",2,2019-07-25,"0238","KS19-6270","K","K17","KS190409242019072502380002","(125,131]"
"245",2019,"19K6268~001",6,2019-07-01,"0001","KS19-6268","K","K17","KS190582002019070100010006","(115,117]"
"250",2019,"19K6268~036",4,2019-07-02,"0036","KS19-6268","K","K17","KS190582002019070200360004","(117,119]"
"251",2019,"19K6268~036",7,2019-07-02,"0036","KS19-6268","K","K17","KS190582002019070200360007","(125,131]"
"254",2019,"19K6270~238",42,2019-07-25,"0238","KS19-6270","K","K17","KS190409242019072502380042","(121,123]"
"259",2019,"19K6270~270",1,2019-07-28,"0270","KS19-6270","K","KNE","KS190409242019072802700001","(125,131]"
"260",2019,"19K6270~260",5,2019-07-27,"0260","KS19-6270","K","KNE","KS190409242019072702600005","(137,139]"
"261",2019,"19K6270~260",55,2019-07-27,"0260","KS19-6270","K","KNE","KS190409242019072702600055","(119,121]"
"263",2019,"19K6270~270",11,2019-07-28,"0270","KS19-6270","K","KNE","KS190409242019072802700011","(135,137]"
"266",2019,"19K6270~270",51,2019-07-28,"0270","KS19-6270","K","KNE","KS190409242019072802700051","(109,111]"
"272",2019,"19K6270~270",41,2019-07-28,"0270","KS19-6270","K","KNE","KS190409242019072802700041","(105,107]"
"276",2019,"19K6270~260",45,2019-07-27,"0260","KS19-6270","K","KNE","KS190409242019072702600045","(117,119]"
"280",2019,"19K6270~260",15,2019-07-27,"0260","KS19-6270","K","KNE","KS190409242019072702600015","(133,135]"
"289",2019,"19K6270~282",42,2019-07-29,"0282","KS19-6270","K","K05","KS190409242019072902820042","(115,117]"
"290",2019,"19K6270~290",10,2019-07-30,"0290","KS19-6270","K","K05","KS190409242019073002900010","(125,131]"
"291",2019,"19K6311~005",16,2019-10-25,"0005","KS19-6311","K","K05","KS190582002019102500050016","(131,133]"
"292",2019,"19K6270~288",60,2019-07-30,"0288","KS19-6270","K","K05","KS190409242019073002880060","(91,93]"
"293",2020,"20K6384~014",45,2020-01-11,"0014","KS19-6384","K","K05","KS190582002020011100140045","(103,105]"
"294",2019,"19K6270~278",48,2019-07-29,"0278","KS19-6270","K","K05","KS190409242019072902780048","(115,117]"
"296",2020,"20K6384~021",58,2020-01-11,"0021","KS19-6384","K","K05","KS190582002020011100210058","(95,97]"
"297",2020,"20K6384~039",9,2020-01-13,"0039","KS19-6384","K","K05","KS190582002020011300390009","(125,131]"
"298",2020,"20K6384~019",47,2020-01-11,"0019","KS19-6384","K","K05","KS190582002020011100190047","(97,99]"
"299",2019,"19K6311~005",44,2019-10-25,"0005","KS19-6311","K","K05","KS190582002019102500050044","(95,97]"
"300",2020,"20K6384~016",56,2020-01-11,"0016","KS19-6384","K","K05","KS190582002020011100160056","(97,99]"
"301",2019,"19K6270~290",50,2019-07-30,"0290","KS19-6270","K","K05","KS190409242019073002900050","(117,119]"
"302",2020,"20K6384~032",59,2020-01-13,"0032","KS19-6384","K","K05","KS190582002020011300320059","(99,101]"
"303",2019,"19K6311~005",6,2019-10-25,"0005","KS19-6311","K","K05","KS190582002019102500050006","(135,137]"
"304",2019,"19K6270~282",13,2019-07-29,"0282","KS19-6270","K","K05","KS190409242019072902820013","(135,137]"
"305",2020,"20K6384~026",45,2020-01-12,"0026","KS19-6384","K","K05","KS190582002020011200260045","(83,85]"
"307",2019,"19K6270~278",58,2019-07-29,"0278","KS19-6270","K","K05","KS190409242019072902780058","(95,97]"
"308",2020,"20K6384~016",46,2020-01-11,"0016","KS19-6384","K","K05","KS190582002020011100160046","(77,79]"
"309",2019,"19K6270~272",6,2019-07-28,"0272","KS19-6270","K","K05","KS190409242019072802720006","(125,131]"
"310",2020,"20K6384~039",49,2020-01-13,"0039","KS19-6384","K","K05","KS190582002020011300390049","(95,97]"
"312",2020,"20K6384~039",19,2020-01-13,"0039","KS19-6384","K","K05","KS190582002020011300390019","(123,125]"
"316",2020,"20K6384~039",59,2020-01-13,"0039","KS19-6384","K","K05","KS190582002020011300390059","(75,77]"
"317",2020,"20K6384~026",55,2020-01-12,"0026","KS19-6384","K","K05","KS190582002020011200260055","(105,107]"
"319",2019,"19K6270~304",17,2019-07-31,"0304","KS19-6270","K","K06","KS190409242019073103040017","(125,131]"
"320",2019,"19K6270~306",5,2019-07-31,"0306","KS19-6270","K","K06","KS190409242019073103060005","(155,157]"
"322",2019,"19K6270~304",7,2019-07-31,"0304","KS19-6270","K","K06","KS190409242019073103040007","(145,147]"
"324",2019,"19K6270~309",17,2019-07-31,"0309","KS19-6270","K","K06","KS190409242019073103090017","(123,125]"
"325",2019,"19K6270~304",57,2019-07-31,"0304","KS19-6270","K","K06","KS190409242019073103040057","(117,119]"
"327",2019,"19K6270~298",42,2019-07-31,"0298","KS19-6270","K","K06","KS190409242019073102980042","(97,99]"
"328",2019,"19K6270~306",9,2019-07-31,"0306","KS19-6270","K","K06","KS190409242019073103060009","(131,133]"
