"","sample_year","sample_date","project_code","trip_no","effort_no","submitter_sample_id","management_area_code","location_code","fishery_code","gear_type","gear_code","submitter_specimen_id","date_sampled","field_species_code","length","length_type_code","weight","weight_type_code","gender_code","maturity_code","specimen_comment","Bin","BinLocation","ADUID"
"32",2017,2017-07-05,"SO1","0017","DS17-5589","DS17040924201707050017","YAK","D06","CO","Dredge","22",44,2017-07-05,"850",83,"SH",NA,"WH",NA,NA,NA,"(81,83]","D06 (81,83]","17D5589~017"
"36",2017,2017-07-05,"SO1","0019","DS17-5589","DS17040924201707050019","YAK","D06","CO","Dredge","22",4,2017-07-05,"850",110,"SH",NA,"WH",NA,NA,NA,"(109,111]","D06 (109,111]","17D5589~019"
"41",2017,2017-07-05,"SO1","0019","DS17-5589","DS17040924201707050019","YAK","D06","CO","Dredge","22",44,2017-07-05,"850",84,"SH",NA,"WH",NA,NA,NA,"(83,85]","D06 (83,85]","17D5589~019"
"44",2017,2017-07-08,"SO1","0083","DS17-5589","DS17040924201707080083","YAK","D06","CO","Dredge","22",42,2017-07-08,"850",84,"SH",NA,"WH",NA,NA,NA,"(83,85]","D06 (83,85]","17D5589~083"
"46",2017,2017-07-05,"SO2","0021","DS17-5589","DS17040924201707050021","YAK","D06","CO","Dredge","22",1,2017-07-05,"850",135,"SH",NA,"WH",NA,NA,NA,"(133,135]","D06 (133,135]","17D5589~021"
"47",2017,2017-07-06,"SO1","0037","DS17-5589","DS17040924201707060037","YAK","D06","CO","Dredge","22",6,2017-07-06,"850",134,"SH",NA,"WH",NA,NA,NA,"(133,135]","D06 (133,135]","17D5589~037"
"51",2017,2017-07-05,"SO2","0021","DS17-5589","DS17040924201707050021","YAK","D06","CO","Dredge","22",2,2017-07-05,"850",125,"SH",NA,"WH",NA,NA,NA,"(123,125]","D06 (123,125]","17D5589~021"
"52",2017,2017-07-07,"SO2","0063","DS17-5589","DS17040924201707070063","YAK","D06","CO","Dredge","22",10,2017-07-07,"850",124,"SH",NA,"WH",NA,NA,NA,"(123,125]","D06 (123,125]","17D5589~063"
"53",2017,2017-07-06,"SO1","0035","DS17-5589","DS17040924201707060035","YAK","D06","CO","Dredge","22",6,2017-07-06,"850",125,"SH",NA,"WH",NA,NA,NA,"(123,125]","D06 (123,125]","17D5589~035"
"56",2017,2017-07-05,"SO2","0021","DS17-5589","DS17040924201707050021","YAK","D06","CO","Dredge","22",3,2017-07-05,"850",141,"SH",NA,"WH",NA,NA,NA,"(139,141]","D06 (139,141]","17D5589~021"
"57",2017,2017-07-05,"SO2","0021","DS17-5589","DS17040924201707050021","YAK","D06","CO","Dredge","22",9,2017-07-05,"850",140,"SH",NA,"WH",NA,NA,NA,"(139,141]","D06 (139,141]","17D5589~021"
"61",2017,2017-07-05,"SO2","0021","DS17-5589","DS17040924201707050021","YAK","D06","CO","Dredge","22",5,2017-07-05,"850",128,"SH",NA,"WH",NA,NA,NA,"(125,131]","D06 (125,131]","17D5589~021"
"62",2017,2017-07-05,"SO2","0021","DS17-5589","DS17040924201707050021","YAK","D06","CO","Dredge","22",10,2017-07-05,"850",131,"SH",NA,"WH",NA,NA,NA,"(125,131]","D06 (125,131]","17D5589~021"
"64",2017,2017-07-07,"SO2","0063","DS17-5589","DS17040924201707070063","YAK","D06","CO","Dredge","22",5,2017-07-07,"850",130,"SH",NA,"WH",NA,NA,NA,"(125,131]","D06 (125,131]","17D5589~063"
"65",2017,2017-07-07,"SO2","0063","DS17-5589","DS17040924201707070063","YAK","D06","CO","Dredge","22",2,2017-07-07,"850",127,"SH",NA,"WH",NA,NA,NA,"(125,131]","D06 (125,131]","17D5589~063"
"66",2017,2017-07-05,"SO2","0021","DS17-5589","DS17040924201707050021","YAK","D06","CO","Dredge","22",7,2017-07-05,"850",139,"SH",NA,"WH",NA,NA,NA,"(137,139]","D06 (137,139]","17D5589~021"
"71",2017,2017-07-05,"SO2","0021","DS17-5589","DS17040924201707050021","YAK","D06","CO","Dredge","22",8,2017-07-05,"850",150,"SH",NA,"WH",NA,NA,NA,"(149,151]","D06 (149,151]","17D5589~021"
"76",2017,2017-07-06,"SO1","0033","DS17-5589","DS17040924201707060033","YAK","D06","CO","Dredge","22",6,2017-07-06,"850",144,"SH",NA,"WH",NA,NA,NA,"(143,145]","D06 (143,145]","17D5589~033"
"81",2017,2017-07-07,"SO1","0057","DS17-5589","DS17040924201707070057","YAK","D06","CO","Dredge","22",48,2017-07-07,"850",107,"SH",NA,"WH",NA,NA,NA,"(105,107]","D06 (105,107]","17D5589~057"
"83",2017,2017-07-08,"SO1","0085","DS17-5589","DS17040924201707080085","YAK","D06","CO","Dredge","22",42,2017-07-08,"850",107,"SH",NA,"WH",NA,NA,NA,"(105,107]","D06 (105,107]","17D5589~085"
"84",2017,2017-07-06,"SO1","0033","DS17-5589","DS17040924201707060033","YAK","D06","CO","Dredge","22",46,2017-07-06,"850",106,"SH",NA,"WH",NA,NA,NA,"(105,107]","D06 (105,107]","17D5589~033"
"86",2017,2017-07-06,"SO1","0035","DS17-5589","DS17040924201707060035","YAK","D06","CO","Dredge","22",46,2017-07-06,"850",79,"SH",NA,"WH",NA,NA,NA,"(77,79]","D06 (77,79]","17D5589~035"
"91",2017,2017-07-06,"SO1","0037","DS17-5589","DS17040924201707060037","YAK","D06","CO","Dredge","22",46,2017-07-06,"850",103,"SH",NA,"WH",NA,NA,NA,"(101,103]","D06 (101,103]","17D5589~037"
"96",2017,2017-07-06,"SO1","0039","DS17-5589","DS17040924201707060039","YAK","D06","CO","Dredge","22",6,2017-07-06,"850",120,"SH",NA,"WH",NA,NA,NA,"(119,121]","D06 (119,121]","17D5589~039"
"98",2017,2017-07-08,"SO1","0079","DS17-5589","DS17040924201707080079","YAK","D06","CO","Dredge","22",2,2017-07-08,"850",120,"SH",NA,"WH",NA,NA,NA,"(119,121]","D06 (119,121]","17D5589~079"
"101",2017,2017-07-06,"SO1","0041","DS17-5589","DS17040924201707060041","YAK","D06","CO","Dredge","22",46,2017-07-06,"850",91,"SH",NA,"WH",NA,NA,NA,"(89,91]","D06 (89,91]","17D5589~041"
"106",2017,2017-07-07,"SO1","0059","DS17-5589","DS17040924201707070059","YAK","D06","CO","Dredge","22",8,2017-07-07,"850",122,"SH",NA,"WH",NA,NA,NA,"(121,123]","D06 (121,123]","17D5589~059"
"108",2017,2017-07-07,"SO2","0063","DS17-5589","DS17040924201707070063","YAK","D06","CO","Dredge","22",8,2017-07-07,"850",122,"SH",NA,"WH",NA,NA,NA,"(121,123]","D06 (121,123]","17D5589~063"
"109",2017,2017-07-07,"SO1","0055","DS17-5589","DS17040924201707070055","YAK","D06","CO","Dredge","22",8,2017-07-07,"850",123,"SH",NA,"WH",NA,NA,NA,"(121,123]","D06 (121,123]","17D5589~055"
"111",2017,2017-07-07,"SO1","0055","DS17-5589","DS17040924201707070055","YAK","D06","CO","Dredge","22",48,2017-07-07,"850",96,"SH",NA,"WH",NA,NA,NA,"(95,97]","D06 (95,97]","17D5589~055"
"116",2017,2017-07-07,"SO1","0059","DS17-5589","DS17040924201707070059","YAK","D06","CO","Dredge","22",48,2017-07-07,"850",104,"SH",NA,"WH",NA,NA,NA,"(103,105]","D06 (103,105]","17D5589~059"
"121",2017,2017-07-07,"SO2","0063","DS17-5589","DS17040924201707070063","YAK","D06","CO","Dredge","22",1,2017-07-07,"850",116,"SH",NA,"WH",NA,NA,NA,"(115,117]","D06 (115,117]","17D5589~063"
"122",2017,2017-07-07,"SO2","0063","DS17-5589","DS17040924201707070063","YAK","D06","CO","Dredge","22",9,2017-07-07,"850",116,"SH",NA,"WH",NA,NA,NA,"(115,117]","D06 (115,117]","17D5589~063"
"126",2017,2017-07-07,"SO2","0063","DS17-5589","DS17040924201707070063","YAK","D06","CO","Dredge","22",7,2017-07-07,"850",119,"SH",NA,"WH",NA,NA,NA,"(117,119]","D06 (117,119]","17D5589~063"
"127",2017,2017-07-08,"SO1","0085","DS17-5589","DS17040924201707080085","YAK","D06","CO","Dredge","22",2,2017-07-08,"850",118,"SH",NA,"WH",NA,NA,NA,"(117,119]","D06 (117,119]","17D5589~085"
"131",2017,2017-07-08,"SO1","0081","DS17-5589","DS17040924201707080081","YAK","D06","CO","Dredge","22",42,2017-07-08,"850",88,"SH",NA,"WH",NA,NA,NA,"(87,89]","D06 (87,89]","17D5589~081"
"136",2017,2017-07-11,"SO1","0136","DS17-5589","DS17040924201707110136","YAK","D05","CO","Dredge","22",2,2017-07-11,"850",122,"SH",NA,"WH",NA,NA,NA,"(121,123]","D05 (121,123]","17D5589~136"
"138",2017,2017-07-12,"SO2","0158","DS17-5589","DS17040924201707120158","YAK","D05","CO","Dredge","22",4,2017-07-12,"850",122,"SH",NA,"WH",NA,NA,NA,"(121,123]","D05 (121,123]","17D5589~158"
"140",2017,2017-07-09,"SO1","0097","DS17-5589","DS17040924201707090097","YAK","D05","CO","Dredge","22",7,2017-07-09,"850",122,"SH",NA,"WH",NA,NA,NA,"(121,123]","D05 (121,123]","17D5589~097"
"141",2017,2017-07-09,"SO1","0097","DS17-5589","DS17040924201707090097","YAK","D05","CO","Dredge","22",47,2017-07-09,"850",99,"SH",NA,"WH",NA,NA,NA,"(97,99]","D05 (97,99]","17D5589~097"
"142",2017,2017-07-11,"SO1","0132","DS17-5589","DS17040924201707110132","YAK","D05","CO","Dredge","22",42,2017-07-11,"850",98,"SH",NA,"WH",NA,NA,NA,"(97,99]","D05 (97,99]","17D5589~132"
"143",2017,2017-07-10,"SO1","0119","DS17-5589","DS17040924201707100119","YAK","D05","CO","Dredge","22",47,2017-07-10,"850",98,"SH",NA,"WH",NA,NA,NA,"(97,99]","D05 (97,99]","17D5589~119"
"146",2017,2017-07-12,"SO2","0158","DS17-5589","DS17040924201707120158","YAK","D05","CO","Dredge","22",6,2017-07-12,"850",129,"SH",NA,"WH",NA,NA,NA,"(125,131]","D05 (125,131]","17D5589~158"
"147",2017,2017-07-12,"SO2","0158","DS17-5589","DS17040924201707120158","YAK","D05","CO","Dredge","22",1,2017-07-12,"850",128,"SH",NA,"WH",NA,NA,NA,"(125,131]","D05 (125,131]","17D5589~158"
"148",2017,2017-07-09,"SO1","0099","DS17-5589","DS17040924201707090099","YAK","D05","CO","Dredge","22",7,2017-07-09,"850",127,"SH",NA,"WH",NA,NA,NA,"(125,131]","D05 (125,131]","17D5589~099"
"149",2017,2017-07-11,"SO1","0132","DS17-5589","DS17040924201707110132","YAK","D05","CO","Dredge","22",2,2017-07-11,"850",130,"SH",NA,"WH",NA,NA,NA,"(125,131]","D05 (125,131]","17D5589~132"
"151",2017,2017-07-10,"SO2","0114","DS17-5589","DS17040924201707100114","YAK","D05","CO","Dredge","22",9,2017-07-10,"850",107,"SH",NA,"WH",NA,NA,NA,"(105,107]","D05 (105,107]","17D5589~114"
"153",2017,2017-07-09,"SO1","0099","DS17-5589","DS17040924201707090099","YAK","D05","CO","Dredge","22",47,2017-07-09,"850",107,"SH",NA,"WH",NA,NA,NA,"(105,107]","D05 (105,107]","17D5589~099"
"156",2017,2017-07-10,"SO2","0114","DS17-5589","DS17040924201707100114","YAK","D05","CO","Dredge","22",5,2017-07-10,"850",119,"SH",NA,"WH",NA,NA,NA,"(117,119]","D05 (117,119]","17D5589~114"
"158",2017,2017-07-10,"SO2","0114","DS17-5589","DS17040924201707100114","YAK","D05","CO","Dredge","22",4,2017-07-10,"850",118,"SH",NA,"WH",NA,NA,NA,"(117,119]","D05 (117,119]","17D5589~114"
"161",2017,2017-07-09,"SO1","0101","DS17-5589","DS17040924201707090101","YAK","D05","CO","Dredge","22",47,2017-07-09,"850",97,"SH",NA,"WH",NA,NA,NA,"(95,97]","D05 (95,97]","17D5589~101"
"166",2017,2017-07-12,"SO1","0152","DS17-5589","DS17040924201707120152","YAK","D05","CO","Dredge","22",4,2017-07-12,"850",116,"SH",NA,"WH",NA,NA,NA,"(115,117]","D05 (115,117]","17D5589~152"
"169",2017,2017-07-09,"SO1","0103","DS17-5589","DS17040924201707090103","YAK","D05","CO","Dredge","22",7,2017-07-09,"850",117,"SH",NA,"WH",NA,NA,NA,"(115,117]","D05 (115,117]","17D5589~103"
"171",2017,2017-07-10,"SO1","0121","DS17-5589","DS17040924201707100121","YAK","D05","CO","Dredge","22",47,2017-07-10,"850",100,"SH",NA,"WH",NA,NA,NA,"(99,101]","D05 (99,101]","17D5589~121"
"172",2017,2017-07-12,"SO1","0152","DS17-5589","DS17040924201707120152","YAK","D05","CO","Dredge","22",44,2017-07-12,"850",100,"SH",NA,"WH",NA,NA,NA,"(99,101]","D05 (99,101]","17D5589~152"
"173",2017,2017-07-12,"SO1","0156","DS17-5589","DS17040924201707120156","YAK","D05","CO","Dredge","22",44,2017-07-12,"850",100,"SH",NA,"WH",NA,NA,NA,"(99,101]","D05 (99,101]","17D5589~156"
"176",2017,2017-07-10,"SO2","0114","DS17-5589","DS17040924201707100114","YAK","D05","CO","Dredge","22",7,2017-07-10,"850",110,"SH",NA,"WH",NA,NA,NA,"(109,111]","D05 (109,111]","17D5589~114"
"178",2017,2017-07-10,"SO2","0114","DS17-5589","DS17040924201707100114","YAK","D05","CO","Dredge","22",3,2017-07-10,"850",111,"SH",NA,"WH",NA,NA,NA,"(109,111]","D05 (109,111]","17D5589~114"
"181",2017,2017-07-10,"SO2","0114","DS17-5589","DS17040924201707100114","YAK","D05","CO","Dredge","22",6,2017-07-10,"850",113,"SH",NA,"WH",NA,NA,NA,"(111,113]","D05 (111,113]","17D5589~114"
"186",2017,2017-07-10,"SO2","0114","DS17-5589","DS17040924201707100114","YAK","D05","CO","Dredge","22",8,2017-07-10,"850",105,"SH",NA,"WH",NA,NA,NA,"(103,105]","D05 (103,105]","17D5589~114"
"187",2017,2017-07-12,"SO1","0154","DS17-5589","DS17040924201707120154","YAK","D05","CO","Dredge","22",44,2017-07-12,"850",104,"SH",NA,"WH",NA,NA,NA,"(103,105]","D05 (103,105]","17D5589~154"
"191",2017,2017-07-10,"SO2","0114","DS17-5589","DS17040924201707100114","YAK","D05","CO","Dredge","22",10,2017-07-10,"850",124,"SH",NA,"WH",NA,NA,NA,"(123,125]","D05 (123,125]","17D5589~114"
"196",2017,2017-07-10,"SO1","0116","DS17-5589","DS17040924201707100116","YAK","D05","CO","Dredge","22",7,2017-07-10,"850",133,"SH",NA,"WH",NA,NA,NA,"(131,133]","D05 (131,133]","17D5589~116"
"201",2017,2017-07-10,"SO1","0116","DS17-5589","DS17040924201707100116","YAK","D05","CO","Dredge","22",47,2017-07-10,"850",95,"SH",NA,"WH",NA,NA,NA,"(93,95]","D05 (93,95]","17D5589~116"
"202",2017,2017-07-11,"SO1","0134","DS17-5589","DS17040924201707110134","YAK","D05","CO","Dredge","22",42,2017-07-11,"850",95,"SH",NA,"WH",NA,NA,NA,"(93,95]","D05 (93,95]","17D5589~134"
"206",2017,2017-07-10,"SO1","0119","DS17-5589","DS17040924201707100119","YAK","D05","CO","Dredge","22",7,2017-07-10,"850",137,"SH",NA,"WH",NA,NA,NA,"(135,137]","D05 (135,137]","17D5589~119"
"211",2017,2017-07-11,"SO1","0136","DS17-5589","DS17040924201707110136","YAK","D05","CO","Dredge","22",42,2017-07-11,"850",76,"SH",NA,"WH",NA,NA,NA,"(75,77]","D05 (75,77]","17D5589~136"
"216",2017,2017-07-11,"SO1","0138","DS17-5589","DS17040924201707110138","YAK","D05","CO","Dredge","22",42,2017-07-11,"850",102,"SH",NA,"WH",NA,NA,NA,"(101,103]","D05 (101,103]","17D5589~138"
"221",2017,2017-07-12,"SO1","0154","DS17-5589","DS17040924201707120154","YAK","D05","CO","Dredge","22",4,2017-07-12,"850",146,"SH",NA,"WH",NA,NA,NA,"(145,147]","D05 (145,147]","17D5589~154"
"226",2017,2017-07-12,"SO1","0156","DS17-5589","DS17040924201707120156","YAK","D05","CO","Dredge","22",4,2017-07-12,"850",134,"SH",NA,"WH",NA,NA,NA,"(133,135]","D05 (133,135]","17D5589~156"
"231",2017,2017-07-12,"SO2","0158","DS17-5589","DS17040924201707120158","YAK","D05","CO","Dredge","22",3,2017-07-12,"850",115,"SH",NA,"WH",NA,NA,NA,"(113,115]","D05 (113,115]","17D5589~158"
"236",2017,2017-07-12,"SO2","0158","DS17-5589","DS17040924201707120158","YAK","D05","CO","Dredge","22",5,2017-07-12,"850",108,"SH",NA,"WH",NA,NA,NA,"(107,109]","D05 (107,109]","17D5589~158"
"241",2017,2017-07-12,"SO2","0158","DS17-5589","DS17040924201707120158","YAK","D05","CO","Dredge","22",9,2017-07-12,"850",145,"SH",NA,"WH",NA,NA,NA,"(143,145]","D05 (143,145]","17D5589~158"
"246",2017,2017-07-13,"SO1","0169","DS17-5589","DS17040924201707130169","YAK","D04","CO","Dredge","22",9,2017-07-13,"850",143,"SH",NA,"WH",NA,NA,NA,"(141,143]","D04 (141,143]","17D5589~169"
"251",2017,2017-07-31,"SO1","0517","DS17-5589","DS17040924201707310517","YAK","D04","CO","Dredge","22",49,2017-07-31,"850",102,"SH",NA,"WH",NA,NA,NA,"(101,103]","D04 (101,103]","17D5589~517"
"252",2017,2017-09-02,"SO1","0448","DS17-5594","DS17058200201709020448","YAK","D04","CO","Dredge","22",49,2017-09-02,"850",103,"SH",NA,"WH",NA,NA,NA,"(101,103]","D04 (101,103]","17D5594~448"
"253",2017,2017-07-21,"SO1","0336","DS17-5589","DS17040924201707210336","YAK","D04","CO","Dredge","22",49,2017-07-21,"850",102,"SH",NA,"WH",NA,NA,NA,"(101,103]","D04 (101,103]","17D5589~336"
"254",2017,2017-09-01,"SO1","0429","DS17-5594","DS17058200201709010429","YAK","D04","CO","Dredge","22",47,2017-09-01,"850",103,"SH",NA,"WH",NA,NA,NA,"(101,103]","D04 (101,103]","17D5594~429"
"256",2017,2017-09-05,"SO1","0502","DS17-5594","DS17058200201709050502","YAK","D04","CO","Dredge","22",10,2017-09-05,"850",110,"SH",NA,"WH",NA,NA,NA,"(109,111]","D04 (109,111]","17D5594~502"
"257",2017,2017-08-28,"SO1","0988","DS17-5589","DS17040924201708280988","YAK","D04","CO","Dredge","22",47,2017-08-28,"850",110,"SH",NA,"WH",NA,NA,NA,"(109,111]","D04 (109,111]","17D5589~988"
"258",2017,2017-09-05,"SO2","0500","DS17-5594","DS17058200201709050500","YAK","D04","CO","Dredge","22",2,2017-09-05,"850",110,"SH",NA,"WH",NA,NA,NA,"(109,111]","D04 (109,111]","17D5594~500"
"259",2017,2017-08-26,"SO1","0373","DS17-5594","DS17058200201708260373","YAK","D04","CO","Dredge","22",2,2017-08-26,"850",110,"SH",NA,"WH",NA,NA,NA,"(109,111]","D04 (109,111]","17D5594~373"
"260",2017,2017-08-27,"SO1","0391","DS17-5594","DS17058200201708270391","YAK","D04","CO","Dredge","22",17,2017-08-27,"850",110,"SH",NA,"WH",NA,NA,NA,"(109,111]","D04 (109,111]","17D5594~391"
"261",2017,2017-09-03,"SO1","0466","DS17-5594","DS17058200201709030466","YAK","D04","CO","Dredge","22",41,2017-09-03,"850",101,"SH",NA,"WH",NA,NA,NA,"(99,101]","D04 (99,101]","17D5594~466"
"262",2017,2017-09-08,"SO1","0554","DS17-5594","DS17058200201709080554","YAK","D04","CO","Dredge","22",42,2017-09-08,"850",101,"SH",NA,"WH",NA,NA,NA,"(99,101]","D04 (99,101]","17D5594~554"
"263",2017,2017-08-22,"SO1","0306","DS17-5594","DS17058200201708220306","YAK","D04","CO","Dredge","22",43,2017-08-22,"850",101,"SH",NA,"WH",NA,NA,NA,"(99,101]","D04 (99,101]","17D5594~306"
"264",2017,2017-09-06,"SO1","0515","DS17-5594","DS17058200201709060515","YAK","D04","CO","Dredge","22",42,2017-09-06,"850",100,"SH",NA,"WH",NA,NA,NA,"(99,101]","D04 (99,101]","17D5594~515"
"266",2017,2017-07-18,"SO1","0282","DS17-5589","DS17040924201707180282","YAK","D04","CO","Dredge","22",8,2017-07-18,"850",132,"SH",NA,"WH",NA,NA,NA,"(131,133]","D04 (131,133]","17D5589~282"
"267",2017,2017-09-05,"SO1","0498","DS17-5594","DS17058200201709050498","YAK","D04","CO","Dredge","22",9,2017-09-05,"850",132,"SH",NA,"WH",NA,NA,NA,"(131,133]","D04 (131,133]","17D5594~498"
"268",2017,2017-07-28,"SO1","0472","DS17-5589","DS17040924201707280472","YAK","D04","CO","Dredge","22",6,2017-07-28,"850",133,"SH",NA,"WH",NA,NA,NA,"(131,133]","D04 (131,133]","17D5589~472"
"269",2017,2017-09-09,"SO2","0572","DS17-5594","DS17058200201709090572","YAK","D04","CO","Dredge","22",1,2017-09-09,"850",133,"SH",NA,"WH",NA,NA,NA,"(131,133]","D04 (131,133]","17D5594~572"
"271",2017,2017-07-13,"SO1","0177","DS17-5589","DS17040924201707130177","YAK","D04","CO","Dredge","22",49,2017-07-13,"850",91,"SH",NA,"WH",NA,NA,NA,"(89,91]","D04 (89,91]","17D5589~177"
"273",2017,2017-08-27,"SO1","0385","DS17-5594","DS17058200201708270385","YAK","D04","CO","Dredge","22",50,2017-08-27,"850",91,"SH",NA,"WH",NA,NA,NA,"(89,91]","D04 (89,91]","17D5594~385"
"275",2017,2017-07-17,"SO1","0263","DS17-5589","DS17040924201707170263","YAK","D04","CO","Dredge","22",43,2017-07-17,"850",91,"SH",NA,"WH",NA,NA,NA,"(89,91]","D04 (89,91]","17D5589~263"
"276",2017,2017-09-08,"SO1","0556","DS17-5594","DS17058200201709080556","YAK","D04","CO","Dredge","22",10,2017-09-08,"850",120,"SH",NA,"WH",NA,NA,NA,"(119,121]","D04 (119,121]","17D5594~556"
"277",2017,2017-07-26,"SO1","0440","DS17-5589","DS17040924201707260440","YAK","D04","CO","Dredge","22",5,2017-07-26,"850",121,"SH",NA,"WH",NA,NA,NA,"(119,121]","D04 (119,121]","17D5589~440"
"281",2017,2017-07-30,"SO1","0502","DS17-5589","DS17040924201707300502","YAK","D04","CO","Dredge","22",43,2017-07-30,"850",118,"SH",NA,"WH",NA,NA,NA,"(117,119]","D04 (117,119]","17D5589~502"
"282",2017,2017-07-17,"SO2","0261","DS17-5589","DS17040924201707170261","YAK","D04","CO","Dredge","22",3,2017-07-17,"850",119,"SH",NA,"WH",NA,NA,NA,"(117,119]","D04 (117,119]","17D5589~261"
"283",2017,2017-07-24,"SO2","0401","DS17-5589","DS17040924201707240401","YAK","D04","CO","Dredge","22",7,2017-07-24,"850",119,"SH",NA,"WH",NA,NA,NA,"(117,119]","D04 (117,119]","17D5589~401"
"284",2017,2017-09-05,"SO2","0500","DS17-5594","DS17058200201709050500","YAK","D04","CO","Dredge","22",1,2017-09-05,"850",119,"SH",NA,"WH",NA,NA,NA,"(117,119]","D04 (117,119]","17D5594~500"
"285",2017,2017-07-20,"SO1","0324","DS17-5589","DS17040924201707200324","YAK","D04","CO","Dredge","22",47,2017-07-20,"850",119,"SH",NA,"WH",NA,NA,NA,"(117,119]","D04 (117,119]","17D5589~324"
"286",2017,2017-07-21,"SO1","0342","DS17-5589","DS17040924201707210342","YAK","D04","CO","Dredge","22",9,2017-07-21,"850",123,"SH",NA,"WH",NA,NA,NA,"(121,123]","D04 (121,123]","17D5589~342"
"287",2017,2017-07-29,"SO2","0489","DS17-5589","DS17040924201707290489","YAK","D04","CO","Dredge","22",8,2017-07-29,"850",122,"SH",NA,"WH",NA,NA,NA,"(121,123]","D04 (121,123]","17D5589~489"
"288",2017,2017-09-03,"SO1","0466","DS17-5594","DS17058200201709030466","YAK","D04","CO","Dredge","22",1,2017-09-03,"850",123,"SH",NA,"WH",NA,NA,NA,"(121,123]","D04 (121,123]","17D5594~466"
"289",2017,2017-07-30,"SO1","0504","DS17-5589","DS17040924201707300504","YAK","D04","CO","Dredge","22",43,2017-07-30,"850",123,"SH",NA,"WH",NA,NA,NA,"(121,123]","D04 (121,123]","17D5589~504"
"290",2017,2017-08-23,"SO1","0317","DS17-5594","DS17058200201708230317","YAK","D04","CO","Dredge","22",1,2017-08-23,"850",122,"SH",NA,"WH",NA,NA,NA,"(121,123]","D04 (121,123]","17D5594~317"
"291",2017,2017-07-25,"SO1","0419","DS17-5589","DS17040924201707250419","YAK","D04","CO","Dredge","22",43,2017-07-25,"850",107,"SH",NA,"WH",NA,NA,NA,"(105,107]","D04 (105,107]","17D5589~419"
"292",2017,2017-07-17,"SO2","0261","DS17-5589","DS17040924201707170261","YAK","D04","CO","Dredge","22",1,2017-07-17,"850",106,"SH",NA,"WH",NA,NA,NA,"(105,107]","D04 (105,107]","17D5589~261"
"293",2017,2017-07-24,"SO1","0397","DS17-5589","DS17040924201707240397","YAK","D04","CO","Dredge","22",41,2017-07-24,"850",107,"SH",NA,"WH",NA,NA,NA,"(105,107]","D04 (105,107]","17D5589~397"
"295",2017,2017-07-24,"SO1","0399","DS17-5589","DS17040924201707240399","YAK","D04","CO","Dredge","22",41,2017-07-24,"850",107,"SH",NA,"WH",NA,NA,NA,"(105,107]","D04 (105,107]","17D5589~399"
"296",2017,2017-07-14,"SO1","0199","DS17-5589","DS17040924201707140199","YAK","D04","CO","Dredge","22",47,2017-07-14,"850",96,"SH",NA,"WH",NA,NA,NA,"(95,97]","D04 (95,97]","17D5589~199"
